index,product_id,idx
228,SGLGFZSPRYFGDBCH,228
229,JEAGEMW8GHGBHNBN,229
230,GWNGCZYCHYBEBYVW,230
231,TROGMJXBZSYBEUF8,231
232,KTAGEXPBZZNMAH8N,232
233,SHTFT97HZHWNWBHK,233
234,SNDFP9HFJHQZH5GF,234
235,TSHGZBP8DGXTMX6F,235
236,BAGGBF6ZMWJKDXFH,236
237,SHTG5YDVJ7PN5EXQ,237
238,SHTG5YDVPEHYD25H,238
239,KTAG4NMW5HE2YMRF,239
240,KTAGK5MFHFFTPCYK,240
241,KLCG62X4TMYRYRSU,241
242,KPBGP3FMVHKYZ7ET,242
243,WATG795FHGZJZGR6,243
244,JWSGQH7XHWEU2XYU,244
245,KPBGNZ6XJFHPCGC5,245
246,SHOGZT6RNT9Q8VPH,246
247,WATG57J8UARGG4RV,247
248,WATGEN2XBYPEHXJM,248
249,JEAGGQBMCGQMBARH,249
250,WATG5ZNQHSJT5GUM,250
251,SHTG5YDVC65FFUF2,251
252,WATGFAPKEVDDJ5JU,252
253,SHOG4JEYSDNHMTFK,253
254,SHOGH3GV6U8UQEUT,254
255,STCGHR2WMRHMZD4H,255
256,STCGHR2WQTQZXCG6,256
257,KPBGMZU3PSGN7KUY,257
258,SHTGYCCYZXUZGN6K,258
259,SHTGJY8YAPRGNKYJ,259
260,KTKGYZPBGRPDAQTZ,260
261,TROGKEAHVVG2RQHA,261
262,KDEGGFJAFKT4VDZK,262
263,JEAGH3GFRZFVCMVH,263
264,SHTGNEFMYG9BC5FB,264
265,STCG2UKKXWSC7TPV,265
266,STCGF6ZRHASEVFYG,266
267,KDEG6BFUSVAJ75WS,267
268,KDEG93H8GP8V4VYT,268
269,STCG3ZG3FHDDPFAK,269
270,SARGE2HZ5EH6Y6PM,270
271,RAKG5DJENTYKCWEG,271
272,TSHGQ9TFZUMZRGS7,272
273,JWSGE4YHZVCZCGRF,273
274,TSHFKYCDDVBV3EGB,274
275,TSHGQYHJYUWWGCWH,275
276,KETF6VA8TGHBGDTP,276
277,JEAGDWFTQHU8MRNZ,277
278,NSTGBGA5BZYFZ6U3,278
279,WATFVFG6ECJDPVFW,279
280,WCWF2ZFK5UR27BKM,280
281,SFFGMRYZPU468XQH,281
282,KETFWYHGAFYYFQTH,282
283,SHOFZDBP6HJPXXNV,283
284,STCFZHKABRJZHFFV,284
285,TSHFJPK3RG6TZ7MZ,285
286,KPBGG9ZE3NZJKFTT,286
287,KPBGG9ZEEXF6RZRX,287
288,STCFP54JGGPYYNZX,288
289,KPBGG9ZEYNHFXAGC,289
290,SRTGCY29NDBCT2ZN,290
291,STCFFRX7MHXDTYKZ,291
292,KTAGFXARCHXAEN4A,292
293,KPBG7KC92FJHNNYY,293
294,KTAGRNGGSSMYQ93R,294
295,KVEG3FZ5R9VHXHCA,295
296,ETHGZV8GZ7N5WFZM,296
297,SHTFXDN7PBP2QA3Z,297
298,SHTFZFTGHH54YXQU,298
299,WATF2VTYAYUPDENJ,299
300,SHOG2EYZFPARRTQB,300
301,SFFGMZMCY7MTYTVC,301
302,SWSGA4QY3KY8ZTGD,302
303,SARGQURZ7ATSHCWZ,303
304,STCGHVGC5YTG5TJQ,304
305,WATFUQEWHGEUBXF3,305
306,TROGMMKBRHPFGG2S,306
307,TROGMY6ZYQUVJWK4,307
308,SHOGGUTPEWNCAAP5,308
309,SHOGGUTPMWKX2SPZ,309
